person_id,item_id,item_type,item_score,gender
1,1,dictation,0.993889516,MALE
1,2,ctest,0.711864407,MALE
1,3,audio_vocab,0.824165656,MALE
1,4,ctest,0.9,MALE
1,5,text_vocab,0.915733149,MALE
1,6,dictation,0.993889516,MALE
1,7,text_vocab,0.975507821,MALE
1,8,ctest,0.8,MALE
1,9,dictation,0.024772578,MALE
1,10,dictation,0.993889516,MALE
1,11,elicited_speech,0.862095507,MALE
1,12,audio_vocab,0.836678836,MALE
1,13,dictation,1.00E-07,MALE
1,14,elicited_speech,0.743719049,MALE
1,15,audio_vocab,0.615412091,MALE
1,16,elicited_speech,0.916153143,MALE
1,17,text_vocab,0.910223855,MALE
1,18,text_vocab,0.877287487,MALE
1,19,audio_vocab,0.954711503,MALE
1,20,text_vocab,0.903615575,MALE
1,21,text_vocab,0.893671072,MALE
1,22,elicited_speech,0.906584024,MALE
1,23,dictation,1.42E-05,MALE
1,24,text_vocab,0.664902675,MALE
1,25,ctest,0.842105263,MALE
1,26,audio_vocab,0.836678836,MALE
1,27,ctest,0.854166667,MALE
1,28,ctest,0.692307692,MALE
1,29,elicited_speech,0.924880683,MALE
1,30,audio_vocab,0.954711503,MALE
1,31,elicited_speech,0.843894811,MALE
2,32,ctest,0.9999999,MALE
2,33,elicited_speech,0.9999999,MALE
2,34,ctest,0.9999999,MALE
2,35,dictation,0.993889516,MALE
2,36,audio_vocab,0.954711503,MALE
2,37,audio_vocab,0.957166214,MALE
2,38,dictation,0.993889516,MALE
2,39,text_vocab,0.97811438,MALE
2,40,ctest,0.9999999,MALE
2,41,dictation,0.657706343,MALE
2,42,ctest,0.894736842,MALE
2,43,dictation,0.769674624,MALE
2,44,text_vocab,0.919206801,MALE
2,45,audio_vocab,0.954711503,MALE
2,46,text_vocab,0.975507821,MALE
2,47,ctest,0.844444444,MALE
2,48,audio_vocab,0.954711503,MALE
2,49,elicited_speech,0.905831874,MALE
2,50,elicited_speech,0.754609774,MALE
2,51,elicited_speech,0.946465031,MALE
2,52,text_vocab,0.877358015,MALE
2,53,elicited_speech,0.967011417,MALE
2,54,ctest,0.9999999,MALE
2,55,elicited_speech,0.944267326,MALE
2,56,audio_vocab,0.835751363,MALE
2,57,dictation,7.22E-07,MALE
2,58,audio_vocab,0.796528832,MALE
2,59,text_vocab,0.976829842,MALE
2,60,dictation,0.993889516,MALE
2,61,elicited_speech,0.961845632,MALE
2,62,text_vocab,0.97811438,MALE
2,63,text_vocab,0.855309529,MALE
3,64,audio_vocab,0.836678836,FEMALE
3,65,audio_vocab,0.835751363,FEMALE
3,66,text_vocab,0.631692316,FEMALE
3,67,ctest,0.68,FEMALE
3,68,text_vocab,0.553959906,FEMALE
3,69,elicited_speech,0.790242983,FEMALE
3,70,audio_vocab,0.745446777,FEMALE
3,71,elicited_speech,0.749576131,FEMALE
3,72,ctest,0.8,FEMALE
3,6,dictation,0.993889516,FEMALE
3,73,dictation,0.000121,FEMALE
3,74,elicited_speech,0.795667098,FEMALE
3,75,elicited_speech,0.838900979,FEMALE
3,76,dictation,0.18284122,FEMALE
3,77,ctest,0.866666667,FEMALE
3,78,ctest,0.628571429,FEMALE
3,79,elicited_speech,0.711637065,FEMALE
3,80,ctest,0.838709677,FEMALE
3,81,text_vocab,0.838912426,FEMALE
3,82,audio_vocab,0.835751363,FEMALE
3,83,dictation,0.993889516,FEMALE
3,84,dictation,0.121421761,FEMALE
3,85,text_vocab,0.572482197,FEMALE
3,86,text_vocab,0.75321475,FEMALE
3,87,ctest,0.607142857,FEMALE
3,88,text_vocab,0.976829842,FEMALE
3,89,text_vocab,0.650474892,FEMALE
3,90,audio_vocab,0.745446777,FEMALE
3,91,elicited_speech,0.739249809,FEMALE
3,92,dictation,0.815332168,FEMALE
3,93,audio_vocab,0.957166214,FEMALE
4,94,dictation,0.001738799,FEMALE
4,95,text_vocab,0.204070156,FEMALE
4,96,audio_vocab,0.954711503,FEMALE
4,97,elicited_speech,0.856967169,FEMALE
4,98,ctest,0.555555556,FEMALE
4,99,dictation,0.993889516,FEMALE
4,100,dictation,0.993889516,FEMALE
4,101,dictation,0.00011,FEMALE
4,102,text_vocab,0.877358015,FEMALE
4,103,ctest,0.5,FEMALE
4,104,elicited_speech,0.718239563,FEMALE
4,105,elicited_speech,0.821002747,FEMALE
4,106,dictation,0.993889516,FEMALE
4,107,ctest,0.482758621,FEMALE
4,108,audio_vocab,0.836678836,FEMALE
4,109,text_vocab,0.975507821,FEMALE
4,110,audio_vocab,0.745446777,FEMALE
4,111,ctest,0.772727273,FEMALE
4,112,ctest,0.933333333,FEMALE
4,79,elicited_speech,0.668464554,FEMALE
4,113,text_vocab,0.759020323,FEMALE
4,114,audio_vocab,0.796528832,FEMALE
4,115,text_vocab,0.759020323,FEMALE
4,116,dictation,0.457225291,FEMALE
4,117,text_vocab,0.660861818,FEMALE
4,118,elicited_speech,0.804450322,FEMALE
4,119,elicited_speech,1.00E-07,FEMALE
4,120,ctest,0.304347826,FEMALE
4,121,text_vocab,0.918928584,FEMALE
4,122,audio_vocab,0.824165656,FEMALE
4,123,audio_vocab,0.493147948,FEMALE
5,124,ctest,0.631578947,MALE
5,125,dictation,1.00E-07,MALE
5,126,text_vocab,0.918223856,MALE
5,127,elicited_speech,0.78801631,MALE
5,128,elicited_speech,0.812535039,MALE
5,129,audio_vocab,0.648335693,MALE
5,130,ctest,0.27027027,MALE
5,131,text_vocab,0.104856081,MALE
5,132,dictation,0.077783597,MALE
5,133,dictation,4.07E-05,MALE
5,134,dictation,1.00E-07,MALE
5,135,ctest,0.44,MALE
5,136,text_vocab,0.977657181,MALE
5,137,elicited_speech,0.72571257,MALE
5,138,audio_vocab,0.317547404,MALE
5,96,audio_vocab,0.159399191,MALE
5,139,text_vocab,0.465270537,MALE
5,140,ctest,0.310344828,MALE
5,141,audio_vocab,0.01,MALE
5,142,text_vocab,0.918928584,MALE
5,143,elicited_speech,0.732048852,MALE
5,144,elicited_speech,0.542150689,MALE
5,100,dictation,0.004018209,MALE
